Absent Minded|Bouncy Bullets,The Membrane|The Membrane's shots bounce 4 times and become homing.
Spicy D-Boys|Sunglasses,Strafe Gun|Increases coolness by 2. Lights nearby enemies on fire while reloading Strafe Gun.
Spengbab|Sponge,Tangler|Increases the knockback and range of Tangler by 50%.
Star Friends|Stuffed Star,Polaris|While Stuffed Star is active, the player continually fires maximum level Polaris shots in all directions.
Starburst Fire|Laser Rifle,The Emperor|Firing once with either weapon rapidly fires its entire magazine. Increases damage by 20% and doubles fire rate.
Steel Skin|AC-15,Nanomachines|AC-15 will remain in its powered-up form even if the player has no armor.
The Submachinist|Machine Pistol,MAC10|The guns are dual-wielded.
Succulent DOOM|Starpew,Cactus|Every Cactus shot fires a spread of 5 needles.
Super Bomberpal|Ice Bomb,Lil&#39; Bomber|Lil' Bomber fires two bombs instead of one, charges twice as fast, and has 20% lower reload time.
Super Space Turtle DX|Super Space Turtle,Yellow Chamber|Super Space Turtle becomes jammed, firing piercing shots with higher damage.
Sweetness and Light|Magic Sweet,Magic Lamp|Magic Lamp gains triple shot. Each shot deals 25% of the normal damage, but the genie deals full damage.
Swift Sloop|Sense of Direction,Corsair|Increases Corsair's shot speed by 50%, decreases its charge time by 33%, and decreases its reload time by 20%.
Synthetic Shield|Ammo Synthesizer,Heart Synthesizer,Armor Synthesizer|Creates a companion that orbits the player and blocks shots. If the player has two of the three synthesizers, the companion will take the appearance of the third synthesizer. If the player has all three synthesizers, all three companions will spawn.
Tears of Blood|Bloody Eye,Tear Jerker|Tear Jerker's tears turn red and inflict slow.
Telefrag|Chest Teleporter,Teleporter Prototype|If Teleporter Prototype teleports the player to a room with enemies, all enemies in the room will be killed instantly. If it teleports the player to a special room, Teleporter Prototype's cooldown is decreased.
Terminated, Too|Grenade Launcher,Potion of Lead Skin|Grenade Launcher's grenades fire 8 bullets in all directions upon exploding.
that &amp;^#$# 'pizza'|Machine Fist,RPG|RPG now fires remote-controlled explosive fists, just like Machine Fist. Machine Fist's bullets also bounce twice.
There Is Only War|Demon Head,Jolter|Reloading Jolter causes Demon Head to fire a beam at nearby enemies.
Thermal Imaging|The Predator,Sunglasses|The Predator fires two lasers instead of one.
Three Part Harmony|Really Special Lute,Metronome|Really Special Lute's spread is drastically decreased.
Three Sheets|Corsair,Balloon Gun|Increases movement speed, doubles the damage of the guns, and increases their bullet speed by 20%.
Throw All Daggers|Excaliber,Knife Shield|Knife Shield generates two layers of knives upon use.
Thrown For A Bloop|Bullet Time,Blooper|While Bullet Time is active, a Blooper orbits the player and continually fires at enemies.
Trigger Twins|Smiley&#39;s Revolver,Shades&#39;s Revolver|The guns are dual-wielded. All guns have double ammo capacity and 50% larger magazine size.
Triple Jump|Ballistic Boots,Springheel Boots|Grants three consecutive dodge rolls.
Triple Sticky|Triple Crossbow,Sticky Crossbow|Sticky Crossbow fires three bolts per shot and its magazine size increases from 5 to 6. Triple Crossbow's triple shot explodes upon hitting an enemy.
Turret Link|Chance Bullets,Portable Turret|Portable Turret will sometimes fire shots from guns in the player's inventory.
Turtle Solutions|Turtle Problem,Super Space Turtle|Each room clear spawns another Super Space Turtle, up to a maximum of 4.
Tutorialized|Old Knight&#39;s Helm,Old Knight&#39;s Shield|A shield orbits the player, blocking enemy bullets.
Twin Snakes|Snakemaker,Rattler|Rattler fires a spread of poison beams instead of bullets and Snakemaker fires homing shots.
Two Eggs Over Easy|The Scrambler,Weird Egg|The Scrambler's homing shots will cause poison.
Two Heavy|Crown of Guns,Coin Crown|Doubles the chance for Coin Crown to spawn money upon completing a room.
Two Kinds of People|Colt 1851,Knight&#39;s Gun|Improves the items and pickups dug up by Knight's Gun.
Unsinkable|Corsair,Glacier|Corsair fires exploding Titanic ships.
Usurper|Crown of Guns,Cat Bullet King Throne|Crown of Guns fires more bullets, and Cat Bullet King Throne fires full-sized bullets instead of mini-bullets.
The Void Corps|Void Core Cannon,Void Shotgun,Void Core Assault Rifle|When one of the guns is held, the other(s) orbit the player. Whenever the player reloads, the orbiting gun(s) fire towards the crosshair.
Vulcan Raving|Wax Wings,Vulcan Cannon|Increases knockback by 50%.
Wave Beam|Heroine,Shock Rounds|Enables Wave Beam mode, which fires two wavy projectiles connected by electricity when uncharged, and a standard large Heroine shot when charged. Modes can be switched by reloading Heroine with a full magazine.
Weird Science|Disintegrator,Science Cannon|Three Science Cannon beams branch off perpendicular to Disintegrator's main beam.
Well Dressed|Poxcannon,T-Shirt Cannon|Both guns fire explosive wardrobes at the end of their magazines.
Whale of a Time|Backpack,GuNNER|Also has a chance to spawn a healing skull if a weapon other than GuNNER is equipped when the player takes damage.
what engine do you use|Gungine,Unity|Gungine fires a spread of three bullets per shot, but fires at 1/5th of its original speed.
Why's Bullet Crying?|Frost Giant,Cold 45|Attacking a frozen enemy with one of the guns causes a yeti to attack it, dealing high damage.
Worlds of Guncraft|Gunderfury,Mr. Accretion Jr.|Gunderfury will occasionally fire Mr. Accretion Jr. shots.
Wound Up|Oiled Cylinder,Wind Up Gun|The damage and piercing of Wind Up Gun never decreases. Increases damage and bullet size by 25%.
Wrath Of The Blam|Tear Jerker,Directional Pad|Tear Jerker is replaced with a crying bullet head that can only fire in cardinal directions, but deals double damage.
y cant u crawl|Heroine,Roll Bomb|While Heroine is equipped, increases the size of Roll Bomb's explosions.
|Klobbe,Cog of Battle|In addition to its standard bonuses, upon successfully activating an active reload, Cog of Battle multiplies Klobbe's damage and knockback by 10 and removes all spread for a random portion of the current magazine. This is a hidden synergy. It doesn't have a name and the blue arrow won't appear.
